img,MSE,PSNR,SSIM,CosSimilarity
_,0.0000,1.0000,361.2020,1.0000
im_scaled_2.5,21.3357,0.9444,84.8397,0.1377
im_scaled_2,18.6222,0.9475,85.4305,0.2268
im_scaled_1.6,16.3602,0.9511,85.9929,0.3230
im_scaled_1.25,14.1792,0.9571,86.6143,0.4206
im_scaled_0.8,13.7326,0.9607,86.7533,0.4496
im_scaled_0.625,15.5836,0.9561,86.2041,0.3652
im_scaled_0.5,17.2083,0.9505,85.7734,0.2886
im_scaled_0.4,19.4542,0.9440,85.2407,0.1763
im_scaled_0.25,17.8119,0.9428,85.6237,0.0815
im_scaled_0.2,16.8713,0.9477,85.8593,0.0352
GaussNoise_std_0.1,14.6158,0.9586,86.4826,0.4139
GaussNoise_std_0.3,15.1740,0.9550,86.3198,0.3933
GaussNoise_std_0.5,16.3682,0.9496,85.9908,0.3457
GaussNoise_std_0.7,16.8993,0.9457,85.8521,0.3154
GaussNoise_std_0.9,18.2994,0.9433,85.5064,0.2689
GaussNoise_std_1.1,19.2105,0.9413,85.2954,0.2335
SaltPepperNoise_0.02,8.1472,0.9811,89.0207,0.7077
SaltPepperNoise_0.04,8.3276,0.9797,88.9256,0.6999
SaltPepperNoise_0.06,8.8331,0.9775,88.6697,0.6817
SaltPepperNoise_0.08,9.0001,0.9761,88.5883,0.6772
SaltPepperNoise_0.10,9.5283,0.9736,88.3407,0.6566
SaltPepperNoise_0.12,9.5727,0.9717,88.3205,0.6528
SpeckleNoise_0.2,16.4301,0.9541,85.9744,0.3471
SpeckleNoise_0.3,16.4393,0.9542,85.9720,0.3405
SpeckleNoise_0.4,16.1070,0.9543,86.0607,0.3552
SpeckleNoise_0.5,16.6322,0.9537,85.9213,0.3350
SpeckleNoise_0.6,16.2316,0.9545,86.0272,0.3541
SpeckleNoise_0.7,16.3982,0.9543,85.9829,0.3451
GaussBlur_5,13.6679,0.9588,86.7738,0.4531
GaussBlur_7,16.4894,0.9551,85.9588,0.3519
GaussBlur_9,18.0358,0.9530,85.5695,0.2944
GaussBlur_11,20.1083,0.9507,85.0971,0.2242
GaussBlur_13,21.6924,0.9484,84.7677,0.1720
GaussBlur_15,23.1780,0.9464,84.4800,0.1284
ColorReduce_32,9.7356,0.9768,88.2472,0.6549
ColorReduce_16,9.6665,0.9775,88.2781,0.6584
ColorReduce_8,9.6665,0.9775,88.2781,0.6584
ColorReduce_4,9.7141,0.9774,88.2568,0.6566
