img,MSE,PSNR,SSIM,CosSimilarity
_,0.0000,1.0000,361.2020,1.0000
im_scaled_2.5,16.2885,0.9519,86.0120,0.1542
im_scaled_2,14.6217,0.9549,86.4808,0.2326
im_scaled_1.6,12.6547,0.9591,87.1083,0.3388
im_scaled_1.25,10.5721,0.9647,87.8892,0.4533
im_scaled_0.8,10.6181,0.9682,87.8703,0.4639
im_scaled_0.625,12.5073,0.9640,87.1592,0.3730
im_scaled_0.5,13.6961,0.9601,86.7648,0.2902
im_scaled_0.4,14.7011,0.9546,86.4573,0.2064
im_scaled_0.25,15.3635,0.9476,86.2659,0.0830
im_scaled_0.2,14.1933,0.9519,86.6100,0.0339
GaussNoise_std_0.1,12.2164,0.9635,87.2614,0.3742
GaussNoise_std_0.3,12.5784,0.9616,87.1345,0.3634
GaussNoise_std_0.5,14.0889,0.9565,86.6420,0.2837
GaussNoise_std_0.7,14.7310,0.9537,86.4485,0.2582
GaussNoise_std_0.9,14.7769,0.9511,86.4350,0.2574
GaussNoise_std_1.1,15.5423,0.9493,86.2157,0.2117
SaltPepperNoise_0.02,7.1377,0.9831,89.5952,0.6780
SaltPepperNoise_0.04,7.4125,0.9822,89.4311,0.6674
SaltPepperNoise_0.06,7.8163,0.9798,89.2008,0.6496
SaltPepperNoise_0.08,8.1281,0.9787,89.0309,0.6343
SaltPepperNoise_0.10,8.1563,0.9768,89.0159,0.6320
SaltPepperNoise_0.12,8.9385,0.9750,88.6182,0.5974
SpeckleNoise_0.2,13.7127,0.9607,86.7596,0.3058
SpeckleNoise_0.3,13.7635,0.9604,86.7435,0.3059
SpeckleNoise_0.4,13.8839,0.9606,86.7057,0.3045
SpeckleNoise_0.5,13.7179,0.9596,86.7579,0.3044
SpeckleNoise_0.6,13.7943,0.9594,86.7338,0.2967
SpeckleNoise_0.7,13.8992,0.9600,86.7009,0.2931
GaussBlur_5,11.3242,0.9649,87.5907,0.4290
GaussBlur_7,13.4010,0.9619,86.8594,0.3320
GaussBlur_9,15.3895,0.9595,86.2586,0.2485
GaussBlur_11,16.8771,0.9574,85.8578,0.1836
GaussBlur_13,18.1927,0.9555,85.5318,0.1319
GaussBlur_15,19.1928,0.9541,85.2994,0.1030
ColorReduce_32,8.8985,0.9791,88.6377,0.5985
ColorReduce_16,8.2813,0.9799,88.9498,0.6261
ColorReduce_8,9.9800,0.9774,88.1395,0.5549
ColorReduce_4,9.9757,0.9774,88.1414,0.5551
im_scaled_2.5,21.3357,0.9444,84.8397,0.1377
im_scaled_2,18.6222,0.9475,85.4305,0.2268
im_scaled_1.6,16.3602,0.9511,85.9929,0.3230
im_scaled_1.25,14.1792,0.9571,86.6143,0.4206
im_scaled_0.8,13.7326,0.9607,86.7533,0.4496
im_scaled_0.625,15.5836,0.9561,86.2041,0.3652
im_scaled_0.5,17.2083,0.9505,85.7734,0.2886
im_scaled_0.4,19.4542,0.9440,85.2407,0.1763
im_scaled_0.25,17.8119,0.9428,85.6237,0.0815
im_scaled_0.2,16.8713,0.9477,85.8593,0.0352
GaussNoise_std_0.1,14.6158,0.9586,86.4826,0.4139
GaussNoise_std_0.3,15.1740,0.9550,86.3198,0.3933
GaussNoise_std_0.5,16.3682,0.9496,85.9908,0.3457
GaussNoise_std_0.7,16.8993,0.9457,85.8521,0.3154
GaussNoise_std_0.9,18.2994,0.9433,85.5064,0.2689
GaussNoise_std_1.1,19.2105,0.9413,85.2954,0.2335
SaltPepperNoise_0.02,8.1472,0.9811,89.0207,0.7077
SaltPepperNoise_0.04,8.3276,0.9797,88.9256,0.6999
SaltPepperNoise_0.06,8.8331,0.9775,88.6697,0.6817
SaltPepperNoise_0.08,9.0001,0.9761,88.5883,0.6772
SaltPepperNoise_0.10,9.5283,0.9736,88.3407,0.6566
SaltPepperNoise_0.12,9.5727,0.9717,88.3205,0.6528
SpeckleNoise_0.2,16.4301,0.9541,85.9744,0.3471
SpeckleNoise_0.3,16.4393,0.9542,85.9720,0.3405
SpeckleNoise_0.4,16.1070,0.9543,86.0607,0.3552
SpeckleNoise_0.5,16.6322,0.9537,85.9213,0.3350
SpeckleNoise_0.6,16.2316,0.9545,86.0272,0.3541
SpeckleNoise_0.7,16.3982,0.9543,85.9829,0.3451
GaussBlur_5,13.6679,0.9588,86.7738,0.4531
GaussBlur_7,16.4894,0.9551,85.9588,0.3519
GaussBlur_9,18.0358,0.9530,85.5695,0.2944
GaussBlur_11,20.1083,0.9507,85.0971,0.2242
GaussBlur_13,21.6924,0.9484,84.7677,0.1720
GaussBlur_15,23.1780,0.9464,84.4800,0.1284
ColorReduce_32,9.7356,0.9768,88.2472,0.6549
ColorReduce_16,9.6665,0.9775,88.2781,0.6584
ColorReduce_8,9.6665,0.9775,88.2781,0.6584
ColorReduce_4,9.7141,0.9774,88.2568,0.6566
im_scaled_2.5,21.6976,0.9592,84.7667,0.2464
im_scaled_2,21.7989,0.9581,84.7465,0.2415
im_scaled_1.6,20.7836,0.9587,84.9536,0.2625
im_scaled_1.25,18.7321,0.9609,85.4049,0.3144
im_scaled_0.8,17.8597,0.9597,85.6121,0.3178
im_scaled_0.625,18.5896,0.9546,85.4381,0.2678
im_scaled_0.5,19.0629,0.9490,85.3289,0.2131
im_scaled_0.4,20.2914,0.9437,85.0577,0.1386
im_scaled_0.25,20.4125,0.9369,85.0318,0.0678
im_scaled_0.2,19.4948,0.9349,85.2316,0.0316
GaussNoise_std_0.1,18.9425,0.9593,85.3564,0.2861
GaussNoise_std_0.3,19.3004,0.9533,85.2751,0.2644
GaussNoise_std_0.5,18.5293,0.9479,85.4522,0.2784
GaussNoise_std_0.7,18.9788,0.9439,85.3481,0.2597
